Number of combinations considered: 1330
3 Descriptors | Sum of Descriptor Correlation | R2 | MAE
['q_O', 'active_site_oxidation_state', 'c6', 0.38, 0.80925, 0.309]
['q_M', 'd_MM', 'c6', 1.25, 0.80886, 0.282]
['q_M', 'q_O', 'c6', 0.45, 0.80879, 0.301]
['q_M', 'magmom', 'c6', 1.16, 0.80835, 0.302]
['n_d_el_adjacent', 'bulk_metal_oxidation_state', 'c6', 2.44, 0.8083, 0.302]
['n_d_el_adjacent', 'bulk_metal_oxidation_state', '4th', 2.32, 0.80809, 0.312]
['active_site_oxidation_state', 'c6', '5th', 0.14, 0.8072, 0.304]
['d_MO', 'active_site_oxidation_state', 'c6', 0.92, 0.8071, 0.303]
['bandgap', 'bulk_metal_oxidation_state', 'c6', 0.91, 0.80677, 0.3]
['active_site_oxidation_state', 'c6', '1st', 0.64, 0.80641, 0.302]
['d_MO', 'active_site_oxidation_state', '4th', 0.92, 0.80636, 0.309]
['bandgap', 'd_MM', 'c6', 0.5, 0.80633, 0.289]
['d_MM', 'active_site_oxidation_state', '4th', 0.76, 0.80632, 0.308]
['active_site_oxidation_state', 'adjacent_site_oxidation_state', 'c6', 0.76, 0.80589, 0.309]
['active_site_oxidation_state', 'c6', 'en_pauling', 0.6, 0.80559, 0.305]
['n_d_el_active', 'active_site_oxidation_state', 'en_pauling', 0.77, 0.80555, 0.278]
['Z_val_atom', 'active_site_oxidation_state', 'en_pauling', 0.74, 0.80555, 0.278]
['Z_val_atom', 'n_d_el_active', 'en_pauling', 2.27, 0.80555, 0.278]
['magmom', 'active_site_oxidation_state', 'c6', 0.7, 0.80552, 0.305]
['q_O', '3rd', '4th', 0.65, 0.80542, 0.304]
['bandgap', 'd_MO', 'c6', 0.15, 0.80537, 0.298]
['n_d_el_adjacent', 'adjacent_site_oxidation_state', '5th', 0.17, 0.80534, 0.318]
['Z_val_atom', 'adjacent_site_oxidation_state', '5th', 0.14, 0.80534, 0.318]
['Z_val_atom', 'n_d_el_adjacent', '5th', 0.98, 0.80534, 0.318]
['active_site_oxidation_state', 'bulk_metal_oxidation_state', 'c6', 0.9, 0.80531, 0.304]
['active_site_oxidation_state', 'atomic_radius', 'c6', 0.85, 0.8053, 0.305]
['active_site_oxidation_state', 'c6', '2nd', 0.88, 0.80529, 0.304]
['d_MO', 'c6', '4th', 0.89, 0.80483, 0.314]
['Z_val_bulk', 'bulk_metal_oxidation_state', 'c6', 1.48, 0.80482, 0.305]
['Z_val_atom', 'bulk_metal_oxidation_state', 'c6', 2.45, 0.80482, 0.305]
['Z_val_atom', 'Z_val_bulk', 'c6', 1.57, 0.80482, 0.305]
['magmom', 'active_site_oxidation_state', '4th', 0.66, 0.80461, 0.307]
['bulk_metal_oxidation_state', 'c6', '3rd', 2.41, 0.80396, 0.298]
['bandgap', 'd_MO', '4th', 0.18, 0.80384, 0.304]
['d_MO', '4th', '5th', 0.13, 0.80316, 0.315]
['Z_val_atom', 'magmom', 'd_MO', 0.78, 0.80316, 0.312]
['n_d_el_active', 'active_site_oxidation_state', '3rd', 0.74, 0.80307, 0.283]
['Z_val_atom', 'active_site_oxidation_state', '3rd', 0.73, 0.80307, 0.283]
['Z_val_atom', 'n_d_el_active', '3rd', 2.22, 0.80307, 0.283]
['bulk_metal_oxidation_state', '2nd', '4th', 2.33, 0.80301, 0.311]
['bulk_metal_oxidation_state', 'atomic_radius', '3rd', 1.95, 0.8025, 0.307]
['q_M', 'd_MO', 'c6', 0.97, 0.80128, 0.296]
['n_d_el_active', 'active_site_oxidation_state', 'atomic_radius', 0.71, 0.80069, 0.3]
['Z_val_bulk', 'q_M', 'adjacent_site_oxidation_state', 0.92, 0.80069, 0.324]
['Z_val_atom', 'active_site_oxidation_state', 'atomic_radius', 0.69, 0.80069, 0.3]
['Z_val_atom', 'n_d_el_active', 'atomic_radius', 2.15, 0.80069, 0.3]
['bandgap', 'adjacent_site_oxidation_state', 'c6', 0.22, 0.80049, 0.298]
['active_site_oxidation_state', 'atomic_radius', '4th', 0.74, 0.8004, 0.316]
['Z_val_bulk', 'q_O', 'bulk_metal_oxidation_state', 0.47, 0.80021, 0.318]
['Z_val_atom', 'q_O', 'bulk_metal_oxidation_state', 1.03, 0.80021, 0.318]
['Z_val_atom', 'Z_val_bulk', 'q_O', 0.84, 0.80021, 0.318]
['d_MM', 'c6', '4th', 1.22, 0.80016, 0.312]
['q_M', 'q_O', 'n_d_el_active', 0.35, 0.79968, 0.327]
